,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
13,COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1994,10.000654,0.14,15.298,,,0.0145000005
14,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1973,28.432491,9.1,4.555,1.36,0.588,0.0155
15,SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,1971,35.254528,1.09,2.318,0.371,0.369,0.0095999995
16,CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,1985,15.583793,0.56,12.316,0.355,0.168,0.0173
17,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,1950,6.295746,1.55,18.854,1.225,0.956,0.0217
18,C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,1998,9.207025,0.25,7.289,,,0.029000001
19,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,1828,14.076362,-3.08,3.562,,,0.0355
20,CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1848,42.439026,5.92,5.33,1.02,0.012,0.0165
21,CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,1849,14.545603,-0.87,6.14,,,0.0375
22,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985,12.988869,0.13,8.893,1.256,1.255,0.0171
23,RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1973,13.099728,0.1,20.947,1.599,1.033,0.024500001
24,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858,16.216019,-3.6,2.722,,,0.0273
25,FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",2019-01-02,1985,34.214306,1.66,6.402,,,0.0044
26,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947,22.349165,0.92,1.558,3.822,1.863,0.036
27,GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,1900,13.638361,1.74,6.83,0.361,0.259,0.0084
28,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,1869,9.721546,0.37,40.258,1.657,1.557,0.020399999
29,HIG,The Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,1810,15.038395,1.23,4.688,2.06,1.132,0.021300001
30,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,1866,14.15937,-6.21,1.142,,,0.0375
31,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,2000,36.156517,2.79,3.744,1.006,0.024,0.0097
32,IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,1935,16.049706,0.37,1.529,6.796,1.071,0.0278
33,JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,2000 (1799 / 1871),12.9332905,1.39,12.607,,,0.0228
34,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,1825,13.388009,0.73,1.768,,,0.0312
35,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,1905,20.484797,0.16,3.486,1.97,0.398,0.0241
36,L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",,1959,19.548275,,-0.143,0.488,0.488,0.0045
37,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,1856,14.055722,0.83,11.342,,,0.028800001
38,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,2000,45.85375,9.95,8.0,9.511,7.983,0.0054
39,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,1905,38.285713,2.11,4.375,1.183,1.1,0.0128
40,MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",,1868,11.031691,1.02,5.68,1.025,0.802,0.0309
41,MCO,Moody's,Financials,Financial Exchanges & Data,"New York City, New York",,1909,36.864502,2.95,10.716,2.309,2.124,0.0069
42,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",,1935,12.7769785,2.37,7.645,,,0.0275
43,MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1969,85.89518,3.73,7.747,1.817,1.752,0.0056
44,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1971,33.93496,1.88,6.15,1.025,0.208,0.011
45,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889,21.643785,1.11,5.609,,,0.0254
46,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1842,35.667313,0.82,0.517,,,0.044899996
47,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,1845,10.502902,-3.63,19.129,,,0.024400001
48,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1879,12.112245,0.65,5.88,2.354,2.076,0.0372
49,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,1937,8.248773,-2.18,10.998,0.369,0.247,0.0044
50,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1875,16.235697,0.75,6.729,0.959,0.16,0.0414
51,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,1962,13.074663,0.72,7.487,2.951,2.934,0.0121
52,RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1971,15.713346,0.19,1.521,,,0.028800001
53,SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",,1917,45.67139,3.66,10.158,2.091,2.001,0.0068
54,STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,1792,15.690279,0.83,6.07,,,0.026300002
55,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,1983,24.519302,2.32,30.383,,,
56,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,2003,13.589094,0.2,3.558,,,0.0176
57,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937,17.830334,1.09,11.776,1.897,1.897,0.020499999
58,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,1853,14.105043,1.6,11.062,0.381,0.205,0.0224
59,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,1872,,1.23,,,,0.0348
60,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968,15.479018,0.93,3.789,,,0.0295
